,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
695,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457908,La vérité selon Axpo,Die Axpo und der kreative Umgang mit der Wahrheit,Müller Geri,m,Aargau,AG,Energie
696,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457909,Risques posés par le bisphénol A,Risiken von Bisphenol A,Moser Tiana Angelina,f,Zürich,ZH,Gesundheit
697,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457910,OFSP. Restriction de la publicité pour l'alcool?,BAG. Einschränkung der Alkoholwerbung?,Müri Felix,m,Luzern,LU,Wirtschaft
698,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457911,Office fédéral de l'informatique et de la télécommunication. Licenciements (2),Stellenchaos beim Bundesamt für Informatik und Telekommunikation (2),Wyss Ursula,f,Bern,BE,Staatspolitik
699,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457912,Prestations de maternité en cas de fausse couche ou d'enfant mort-né,Leistungen bei Mutterschaft im Falle von Fehl- und Totgeburten,Galladé Chantal,f,Zürich,ZH,Gesundheit
700,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457913,14 juin. Dialogue sur l'égalité des salaires,14. Juni. Lohngleichheitsdialog,Stump Doris,f,Aargau,AG,Wirtschaft
701,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457914,L'Office fédéral de l'énergie entend-il vraiment tuer les petites centrales hydroélectriques?,Will das Bundesamt für Energie tatsächlich das Ende der Kleinwasserkraftwerke?,Parmelin Guy,m,Waadt,VD,Energie
702,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457915,Rapport sur l'armée. Procédure de consultation non conforme,Rechtswidriges Anhörungsverfahren zum Armeebericht,Allemann Evi,f,Bern,BE,Sicherheitspolitik
703,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457916,Privatisation des services aux chômeurs,Privatisierung der arbeitsmarktlichen Massnahmen,Zisyadis Josef,m,Waadt,VD,Wirtschaft
704,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:457917,Lutte contre le placement des avoirs illégaux des potentats en Suisse,Gegen das Anlegen von illegalen Potentatengeldern in der Schweiz,Sommaruga Carlo,m,Genf,GE,Finanzwesen
