,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
9582,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497976,Les cuves des centrales nucléaires suisses résisteraient-elles à la fusion du coeur?,Würden die Reaktordruckbehälter der Schweizer Kernkraftwerke einer Kernschmelze standhalten?,van Singer Christian,m,Waadt,VD,Energie
9583,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497977,Empêcher que le voyage en Suède du conseiller fédéral Berset ne soit instrumentalisé,Instrumentalisierung von Bundesrat Bersets Reise nach Schweden verhindern,van Singer Christian,m,Waadt,VD,Internationale Politik
9584,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497978,Les Romanches n'ont-ils pas besoin de prévention contre le VIH?,Benötigen die Rätoromanen keine HIV-Prävention?,Candinas Martin,m,Graubünden,GR,Kultur
9585,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497979,Diffusion simultanée. Anomalies dans l'établissement des chiffres d'audience radiophonique,Simulcasting. Missstände bei der Erhebung von Radiohörerzahlen,de Courten Thomas,m,Basel-Landschaft,BL,Medien und Kommunikation
9586,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497980,Condamnation à mort d'une jeune chrétienne au Soudan,Junge Christin in Sudan zum Tode verurteilt,Geissbühler Andrea Martina,f,Bern,BE,Internationale Politik
9587,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497981,Rapport confidentiel du groupe d'experts Brunetti,Vertraulicher Bericht der Expertenkommission Brunetti,Matter Thomas,m,Zürich,ZH,Finanzwesen
9588,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497982,Accord TISA. Evaluation des atteintes aux droits démocratiques,Tisa-Abkommen. Beurteilung der Verletzung demokratischer Rechte,Sommaruga Carlo,m,Genf,GE,Staatspolitik
9589,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497983,Compensation des risques dans l'assurance-maladie. Quand les améliorations entreront-elles en vigueur?,Wann tritt der verfeinerte Risikoausgleich in der Krankenversicherung in Kraft?,Cassis Ignazio,m,Tessin,TI,Gesundheit
9590,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497984,Uranium dans les engrais. Un danger pour les nappes phréatiques,Uran im Dünger. Gefahr für unser Grundwasser,Streiff-Feller Marianne,f,Bern,BE,Gesundheit
9591,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497985,Expo 2015 de Milan. Une base logistique au Tessin?,Expo 2015 in Mailand. Eine logistische Basis im Tessin?,Rusconi Pierre,m,Tessin,TI,Internationale Politik
9592,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497986,Pièges photographiques. Application de la protection des données (2),Fotofallen. Anwendung des Datenschutzes (2),Rossini Stéphane,m,Wallis,VS,Recht Allgemein
9593,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497987,Contributions injustifiées pour Swiss Tavolata,Ungerechtfertigte Beiträge für Swiss Tavolata,Flückiger-Bäni Sylvia,f,Aargau,AG,Wirtschaft
9594,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497988,Projet de loi sur les produits du tabac. Des lacunes en regard de la lutte contre la contrebande et la politique de prévention,Vorentwurf des Tabakproduktegesetzes. Gesetzeslücken beim Schmuggel und bei der Präventionspolitik,Parmelin Guy,m,Waadt,VD,Gesundheit
9595,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497989,Les spécialistes dans le domaine des soins sont en nombre insuffisant face aux besoins croissants d'une population toujours plus âgée,"Eigene Fachleute in der Pflege fehlen, und der Bedarf unserer alternden Bevölkerung wächst",Kessler Margrit,f,St. Gallen,SG,Bildung
9596,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497990,Inspection de l'armée suisse par des Russes,Inspektion der Schweizer Armee durch Russen,Fehr Hans,m,Zürich,ZH,Sicherheitspolitik
9597,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497991,"La Suisse, le deuxième partenaire commercial de l'UE","Die Schweiz, der zweitwichtigste Handelspartner der EU",Rösti Albert,m,Bern,BE,Europapolitik
9598,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497992,Finale de la Coupe du monde de ski avec un parfum de propagande?,Abstimmungspropaganda am Skiweltcup-Finale?,Semadeni Silva,f,Graubünden,GR,Sicherheitspolitik
9599,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497993,Peut-on confier aux cantons la tâche de déterminer les plafonds d'autorisations de séjour des étrangers?,"Kann man den Kantonen die Aufgabe übertragen, die Höchstzahlen der Bewilligungen für Ausländerinnen und Ausländer festzulegen?",Derder Fathi,m,Waadt,VD,Migration
9600,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497994,Renforcer rapidement le Corps des gardes-frontière sur les flancs nord et ouest du territoire,Grenzwachtkorps in der Region Nordwestschweiz unter Druck,Schneeberger Daniela,f,Basel-Landschaft,BL,Staatspolitik
9601,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497995,Campagne provocatrice de l'OFSP contre le sida,Provokative HIV-Kampagne des BAG,von Siebenthal Erich,m,Bern,BE,Gesundheit
9602,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497996,Prendre rapidement les mesures nécessaires pour limiter l'utilisation des perturbateurs endocriniens,"Rasch die nötigen Massnahmen ergreifen, um den Einsatz hormonaktiver Stoffe einzuschränken",van Singer Christian,m,Waadt,VD,Gesundheit
9603,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497997,Le Tessin mérite mieux qu'une visite éclair!,Das Tessin verdient mehr als nur einen Blitzbesuch!,Quadri Lorenzo,m,Tessin,TI,Staatspolitik
9604,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497998,Blocage d'avoirs de potentats,Sperrung von Konten von Potentaten,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Finanzwesen
9605,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:497999,Déchets radioactifs à Bienne. Application du principe du pollueur-payeur?,Radioaktive Abfälle in Biel. Umsetzung des Verursacherprinzips?,Thorens Goumaz Adèle,f,Waadt,VD,Umwelt
9606,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498000,Examen par les pairs de la coopération au développement,Schweizer Entwicklungszusammenarbeit auf dem Prüfstand,Ingold Maja,f,Zürich,ZH,Internationale Politik
9607,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498001,Des marchés publics axés davantage sur la durabilité en Suisse également?,Nachhaltigeres Beschaffungswesen auch in der Schweiz?,Moser Tiana Angelina,f,Zürich,ZH,Staatspolitik
9608,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498002,Projet GABMO,Projekt Gabmo,Knecht Hansjörg,m,Aargau,AG,Staatspolitik
9609,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498003,Frontex plus. Participation de la Confédération,Frontex plus. Teilnahme des Bundes,Pantani Roberta,f,Tessin,TI,Internationale Politik
9610,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498004,"Pourquoi l'AVS aurait-elle soudain besoin de 1,8 milliard de francs de moins?","Warum werden für die AHV plötzlich 1,8 Milliarden Franken weniger benötigt?",Stolz Daniel,m,Basel-Stadt,BS,Sozialer Schutz
9611,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498005,Notre approvisionnement en gaz est-il assuré malgré la crise en Ukraine?,Ist unsere Gasversorgung trotz der Krise in der Ukraine gesichert?,Schläfli Urs,m,Solothurn,SO,Energie
9612,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498006,Privilèges accordés aux conjoints d'ambassadeurs,Privilegien von Ehegatten von Diplomaten,Büchel Roland Rino,m,St. Gallen,SG,Internationale Politik
9613,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498007,Application correcte de l'accord de Dublin par l'Italie,Korrekte Anwendung des Dublin-Abkommens durch Italien,Brand Heinz,m,Graubünden,GR,Migration
9614,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498008,Changement de personnel à la tête d'Armasuisse,Personalwechsel an der Spitze von Armasuisse,Trede Aline,f,Bern,BE,Sicherheitspolitik
9615,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:498009,Scandale Crossrail. Tolérons-nous le dumping salarial?,Crossrail-Skandal. Warum dulden wir das Lohndumping?,Reynard Mathias,m,Wallis,VS,Beschäftigung und Arbeit
